Pri Key,Restaurant Key,Restaurant,Dish,Price,Ingredients (Copy Paste),Calories,Vegan,Vegetarian,Kosher,Keto,Plant Based,Pescaterian,Gluten Free,Low Carb,Low Sodium,Low Cholesteral,Contains Peanuts,Contains Treenuts,Contains Shellfish,,,,,,,,,
1,1,CoreLife Eatery,Mediterranean Bowl,,"Shredded kale + chopped romaine, house made hummus, house made falafel, cucumbers, tomatoes, feta, red onion.",630,0,1,1,0,,1,1,0,,,,,,,,,,,,,,
2,1,CoreLife Eatery,Kale Ceasar Chicken Bowl,,"Shredded Kale + chopped romaine, antibiotic-free chicken, parmesan crisp, tomatoes, shaved parmesan.",310,0,0,1,1,,0,,1,,,,,,,,,,,,,,
3,1,CoreLife Eatery,Chicken Cobb Bowl,,"Shredded kale + chopped romaine, antibiotic-free chicken, avocado, bacon, hard boiled egg.",530,0,0,0,1,,0,,1,,,,,,,,,,,,,,
4,1,CoreLife Eatery,"Steak, Bacon & Blue Cheese Bowl",,"Chopped romaine + mesclun mix, grass fed tri tip steak, bacon, cranberries, walnuts, tomatoes, gorgonzola.",490,0,0,0,1,,0,,1,,,,,,,,,,,,,,
5,1,CoreLife Eatery,Spicy Thai Chicken & Rice Noodle,,"Napa cabbage, spicy Thai rice noodles, spicy chicken, peppers, scallions, sesame Sriracha sprouts, Thai chili sauce.",430,0,0,1,0,,0,0,0,,,,,,,,,,,,,,
6,1,CoreLife Eatery,Tuna Poke Grain,,"Poke ­ahi tuna, cabbage, cucumber, quinoa, carrots, scallions, avocado, kale, almonds, sesame seeds, edamame.",490,0,0,1,1,,1,,1,,,,,,,,,,,,,,
7,1,CoreLife Eatery,Southwest Grilled Chicken & Purpler Rice,,"Purple rice, antibiotic-free chicken, chopped romaine, avocado, jalapenos, tortilla strips, tomatoes, black beans, scallions, corn, shredded white cheddar.",740,0,0,1,,,0,0,0,,,,,,,,,,,,,,
8,1,CoreLife Eatery,Sriracha Ginger Tofu & Ancient Grains,,"Warm quinoa, shredded kale, roasted tofu, carrots, raw beets, spicy broccoli, ginger, sriracha. Vegetarian",290,1,1,1,0,,1,1,0,,,,,,,,,,,,,,
9,1,CoreLife Eatery,Chicken Tortilla & Chipotle Chicken,,"Spinach, purple rice blend, black beans, corn, roasted pepper blend, salt & pepper chicken, chipotle chicken broth, Cotija cheese, tortilla chips, cilantro",680,0,0,1,0,,0,0,0,,,,,,,,,,,,,,
10,1,CoreLife Eatery,Coconut Curry Chicken Soup,,"Chicken bone broth, original chicken, green curry, purple rice blend, coconut milk",260,0,0,1,0,,0,,0,,,,,,,,,,,,,,
11,1,CoreLife Eatery,Chicken & Rice Noodle Broth,,"Chicken bone broth, antibiotic-free chicken, rice noodles, shredded kale, carrots, celery, scallions.",410,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
12,1,CoreLife Eatery,Spicy Ginger Steak & Rice Noodle,,"Beef broth, grass-fed tri tip steak, rice noodles, shredded kale, spicy broccoli, carrots, scallions, sliced almonds, ginger, cilantro, sriracha.",520,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
13,1,CoreLife Eatery,Tomato Basil Vegetable Broth Bowl,,"Vegetable broth, cauliflower purée, cheddar cheese, parmesan cheese, basil leaves, tomatoes, olive oil, garlic.",290,0,1,1,1,,1,1,1,,,,,,,,,,,,,,
14,1,CoreLife Eatery,Broccoli Cheddar Vegetable Broth Bowl,,"Vegetable broth, cauliflower purée, cheddar cheese, parmesan cheese, fresh broccoli, carrots, celery, scallions.",260,0,1,1,0,,1,1,1,,,,,,,,,,,,,,
15,1,CoreLife Eatery,Korean BBQ Pork Bowl,,"Purple rice, kimchi, cucumbers, spicy broccoli, Sriracha sprouts, fried egg, slow-roasted pork, and korean bbq sauce",770,0,0,0,0,,0,1,0,,,,,,,,,,,,,,
16,1,CoreLife Eatery,Tri Tip Steak Rice Bowl made with House-Made Ranch,,"Purple rice, grass-fed tri tip steak, roasted vegetables (roasted beets or roasted sweet potatoes), falafel, arugula, pickled jalapeños, pickled red Onions, and beef bone broth.",720,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
17,1,CoreLife Eatery,BBQ Ranch Chicken,,"Purple rice, corn, black beans, cheddar cheese, tomatoes, jicama, chicken, tortilla strips, cilantro, and basil",720,0,0,1,0,,0,0,0,,,,,,,,,,,,,,
18,1,CoreLife Eatery,Spicy Chicken,,"Purple rice, Thai chicken, roasted vegetables (roasted beets or roasted sweet potatoes), falafel, spinach, pickled red onions, spicy Sriracha sprouts, and chicken bone broth.",770,0,0,1,0,,0,1,0,,,,,,,,,,,,,,
19,1,CoreLife Eatery,Tuna Poke Fire,,"Ahi tuna poke, avocado, pickled jalapeños, pickled red cabbage, sesame Sriracha sprouts, and purple rice.",590,0,0,1,0,,1,1,0,,,,,,,,,,,,,,
