Pri Key,Name,Type,Cuisine,Health Inspection Score,Corona Policies,Trip Advisor Rating,Website,Address,Phone Number,Email,Business,#,Model,Low Carb,Low Sodium,Low Cholesteral,Contains Peanuts,Contains Treenuts,Contains Shellfish
1,CoreLife Eatery,Fast Casual,American,95%,,,corelifeeatery.com,"2512 N Prospect Ave, Champaign, IL 61822",(217) 693-6993,,Local,1,Franchise,0,,,,,
2,Maize,Sit Down,Mexican,90%,,,https://www.maizemexicangrill.com/,"100 N Chestnut St, Champaign, IL 61820","(217) 355-3611
",,Local,2,Local Owned,1,,,,,
3,Sakanaya,Sit Down,sushi,,,,http://www.sakanayarestaurant.com/,"403 E Green St.
Champaign, IL 61820",217-344-1400,jpark@miga-restaurant.com,Ma/Pa,1,Local Owned,1,,,,,
4,Watson's Shack and Rail,Casual,Southern,,,,https://www.watsonschicken.com/,"211 N Neil St, Champaign, IL 61820",(217) 607-0168,,Local Chain,2,,1,,,,,
5,Big Grove Tavern,Sit Down,American,,,,https://www.biggrovetavern.com/,"1 E Main St 
Champaign, IL 61820",(217) 239-3505,,,,,0,,,,,
6,Farrens,Sit Down,American,,,,http://www.farrenspub.com/,117 N Walnut in downtown Champaign,217-359-6977,,,,,1,,,,,
7,Urbana Garden,Sit Down,American,,,,https://www.urbanagardenrestaurant.com/,,217-328-1514,,Local,1,local owned,0,,,,,
8,Baxsters American Grill,Upscale,American,,,,https://baxtersgrille.com/,,217.239.9298,,Local Chain,2,,0,,,,,
9,The Original Pancake House,,,,,,https://www.ophchampaign.com/,"1909 W Springfield Ave 
Champaign, IL 61821",(217) 352-8866,,,,,0,,,,,
10,Culver's,,,,,,,,,,,,,0,,,,,
11,Kofusion,,,,,,,,,,,,,0,,,,,
12,Panera,,,,,,,,,,,,,0,,,,,
13,Chick-Fil-A,,,,,,,,,,,,,1,,,,,
14,Merry Ann's Diner,,,,,,,,,,,,,1,,,,,
15,Li'l Porgy's BBQ,,,,,,,,,,,,,0,,,,,
16,Red Lobster,,,,,,,,,,,,,0,,,,,
17,Hamilton Walker's,,,,,,,,,,,,,0,,,,,
18,Scotty's Brewhouse,,,,,,,,,,,,,0,,,,,
19,Applebee's Grill & Bar,,,,,,,,,,,,,0,,,,,
20,Buffalo Wild Wings,,,,,,,,,,,,,0,,,,,
21,Bangkok Thai,,,,,,,,,,,,,0,,,,,
22,Nando Milano,,,,,,,,,,,,,1,,,,,
